Балт нов в/с с/в Вак.Уп/Кор;Балт нов в/с с/в Вак.Уп/Кор
К-са Княжица с/в Вак.Уп/Кор;К-са Княжица с/в Вак.Уп/Кор
Бекон Классический Вак. упак.;Бекон Классический Вак. упак.
Рулет Классический Вак. упак.;Рулет Классический Вак. упак.
Бекон по-Английски Вак. упак.;Бекон по-Английски Вак. упак.
ГрудинкаПряная чес Вак. упак.;ГрудинкаПряная чес Вак. упак.
Говядина туш кусков ж/б 338;Говядина туш кусков ж/б 338
Докторская кат А Модиф. атм;Докторская кат А Модиф. атм
К-са п/к Домашняя 1с Модиф. Атм;К-са п/к Домашняя 1с Модиф. Атм
Говяжья в/с Вак.Уп/Кор 370;Говяжья в/с Вак.Уп/Кор 370
Ла-Манча в/с С/н м/а/ко 90;Ла-Манча в/с С/н м/а/ко 90
Пр-т с/к Фемино Вак.Уп/Кор;Пр-т с/к Фемино Вак.Уп/Кор
Карпаччо из вырезки Короба;Карпаччо из вырезки Короба
Сало Купеческое Вак.Уп/Кор;Сало Купеческое Вак.Уп/Кор
Продукт Деревенский Короба;Продукт Деревенский Короба
Кашанка смачная н/о мод/ат;Кашанка смачная н/о мод/ат
Языки в желе по-дом Короба;Языки в желе по-дом Короба
Говяд в/с НашСмакi ж/б 338;Говяд в/с НашСмакi ж/б 338
Кумпячок Классически основ;Кумпячок Классически основ
Молочные элитные Сус основ;Молочные элитные Сус основ
Свиные в/с Модиф. атм основ;Свиные в/с Модиф. атм основ
Классическая новая в основ;Классическая новая в основ
Мортаделла нов ТМ СМ основ;Мортаделла нов ТМ СМ основ
Мортаделла с сальцем основ;Мортаделла с сальцем основ
Свиные в/с ВакПотр/уп 300;Свиные в/с ВакПотр/уп 300
Сард. Свиные в/с Модиф. атм;Сард. Свиные в/с Модиф. атм
Аппетитные в/с М/атП/уКор;Аппетитные в/с М/атП/уКор
Тирольские в/с Груп м/атм;Тирольские в/с Груп м/атм
Турино в/с Мод.ат.Кор 180;Турино в/с Мод.ат.Кор 180
Валенсия СМ С/н м/а/ко 90;Валенсия СМ С/н м/а/ко 90
Альпийская в/с Вак.Уп/Кор;Альпийская в/с Вак.Уп/Кор
К-са Еврейская Вак.Уп/Кор;К-са Еврейская Вак.Уп/Кор
Пр-т с/к Санторини Короба;Пр-т с/к Санторини Короба
Рулет в ушах к/в Вак. упак.;Рулет в ушах к/в Вак. упак.
Говядина томленая ж/б 338;Говядина томленая ж/б 338
Чесночная м/р Груп м/атм;Чесночная м/р Груп м/атм
К-са Аппетит нов в/с п/а;К-са Аппетит нов в/с п/а
Мортаделла прем СусМ  400;Мортаделла прем СусМ  400
Мортаделла по-Слоним  650;Мортаделла по-Слоним  650
Мортаделла с сальцем  500;Мортаделла с сальцем  500
С сальцем в/с Целлоф/мод;С сальцем в/с Целлоф/мод
Мортаделла нов ТМ СМ  650;Мортаделла нов ТМ СМ  650
Сос. Сочные в/с Модиф. атм;Сос. Сочные в/с Модиф. атм
Курортная б/с Груп м/атм;Курортная б/с Груп м/атм
Набор Трио Мод.ат.Кор 90;Набор Трио Мод.ат.Кор 90
Сальчичон с/к Вак.Уп/Кор;Сальчичон с/к Вак.Уп/Кор
Пр-т с/к Поркетта Короба;Пр-т с/к Поркетта Короба
Балык Дымница ВакП/упКор;Балык Дымница ВакП/упКор
Продукт мяс.зап.Домашний;Продукт мяс.зап.Домашний
Деревенский с печень  250;Деревенский с печень  250
Деревенский с грибам  250;Деревенский с грибам  250
Свинина томленая ж/б 338;Свинина томленая ж/б 338
К-вы пашт.Печ.с морк  125;К-вы пашт.Печ.с морк  125
П-тИспанский НашСмак 100;П-тИспанский НашСмак 100
Крестьян Белая хатка  100;Крестьян Белая хатка  100
Столичный Белая хатк  100;Столичный Белая хатк  100
Каша гречневая с гов  340;Каша гречневая с гов  340
Мяс менюПрем печенью  338;Мяс менюПрем печенью  338
Рулет Классический основ;Рулет Классический основ
Балычок Слонимский основ;Балычок Слонимский основ
С-т Радзивил. новый основ;С-т Радзивил. новый основ
Ветчинные в/с Модиф. атм;Ветчинные в/с Модиф. атм
Набор Топ Мод.ат.Кор 90;Набор Топ Мод.ат.Кор 90
Свинина туш смачная  340;Свинина туш смачная  340
К-вы пашт.Печ. 125гр  125;К-вы пашт.Печ. 125гр  125
I m Happy Греческий  100;I m Happy Греческий  100
Вкусный Белая хатка  100;Вкусный Белая хатка  100
Мазанка с копчбекон  125;Мазанка с копчбекон  125
Каша перловая с гов  340;Каша перловая с гов  340
Каша греч домашнему  340;Каша греч домашнему  340
К-ша пер по домашем  340;К-ша пер по домашем  340
Фемино с сыром основная;Фемино с сыром основная
Сельская 2с Груп м/атм;Сельская 2с Груп м/атм
Молочная со шпиком  500;Молочная со шпиком  500
Казацкая б/с Модиф. атм;Казацкая б/с Модиф. атм
Панская б/с М/атП/уКор;Панская б/с М/атП/уКор
Пр-т с/к Фемино Короба;Пр-т с/к Фемино Короба
Прошутто С/н м/а/ко 90;Прошутто С/н м/а/ко 90
Палермо с/в Вак/подарк;Палермо с/в Вак/подарк
Балык Дымница Вак. упак.;Балык Дымница Вак. упак.
Пьяное сало ВакПорц.на;Пьяное сало ВакПорц.на
Говядина Спецзаказ  525;Говядина Спецзаказ  525
П-т Грибной 125 гр.  125;П-т Грибной 125 гр.  125
П-т Домашний Б/хат  100;П-т Домашний Б/хат  100
Мясо лося 338г ж/б 338;Мясо лося 338г ж/б 338
ММ Говядина в желе  338;ММ Говядина в желе  338
Прима нов в/с основная;Прима нов в/с основная
Дымница в/с Модиф. атм;Дымница в/с Модиф. атм
Для тостов Короба 650;Для тостов Короба 650
Говядина Прозапас  525;Говядина Прозапас  525
Говядина Походная  525;Говядина Походная  525
Свинина фирменная  340;Свинина фирменная  340
Рате Мексиканский  100;Рате Мексиканский  100
Деревен Бел/хатка  100;Деревен Бел/хатка  100
Мазанка с зеленью  125;Мазанка с зеленью  125
Мазанка с грибами  125;Мазанка с грибами  125
С печенью куриный  125;С печенью куриный  125
Берлинки в/с основная;Берлинки в/с основная
Ла-Манча в/с основная;Ла-Манча в/с основная
Советская в/с Короба;Советская в/с Короба
Сочная с сальцем в/с;Сочная с сальцем в/с
Молочные в/с Бел хат;Молочные в/с Бел хат
Радзивиловский Очень;Радзивиловский Очень
Сервелат Ореховый 1с;Сервелат Ореховый 1с
Медовая I`m Happy вс;Медовая I`m Happy вс
Полендвица новая с/к;Полендвица новая с/к
Грудинка По-деревенс;Грудинка По-деревенс
Смалец бутербр с чес;Смалец бутербр с чес
Кровяная Деревенская;Кровяная Деревенская
Сальтисон Слоним нов;Сальтисон Слоним нов
Заливное из говядины;Заливное из говядины
Говядина донская  340;Говядина донская  340
Мазанка с салями  125;Мазанка с салями  125
П-тБарбекюНаши смакi;П-тБарбекюНаши смакi
Рате Французский  100;Рате Французский  100
Мазанка с орехом  125;Мазанка с орехом  125
К-са Мортаделла в/с;К-са Мортаделла в/с
Колбаса Майонез в/с;Колбаса Майонез в/с
С-ки Молочн премиум;С-ки Молочн премиум
Сер-т Австрийский в/;Сер-т Австрийский в/
Колбаска тещина в/с;Колбаска тещина в/с
Пр-т от Иваныча с/в;Пр-т от Иваныча с/в
Голяшка Обеденн нов;Голяшка Обеденн нов
Прысмак Деревенский;Прысмак Деревенский
